,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
62,HEL,LON,2023-11-30,4:05 pm , 7:40 pm,1,5h 35m,110,"Finnair, British Airways",USD,160,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
63,HEL,LON,2023-11-30,5:20 am , 11:45 am,2,8h 25m,220,"airBaltic, Ryanair",USD,126,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
64,HEL,LON,2023-11-30,1:55 pm , 5:00 pm,1,5h 05m,70,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
65,HEL,LON,2023-11-30,7:25 am , 1:30 pm,2,8h 05m,230,"Scandinavian Airlines, Ryanair",USD,122,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
66,HEL,LON,2023-11-30,10:40 am , 1:50 pm,1,5h 10m,75,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
67,HEL,LON,2023-11-30,1:15 pm , 9:35 pm,1,10h 20m,380,Scandinavian Airlines,USD,145,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
68,HEL,LON,2023-11-30,7:05 am , 10:20 am,1,5h 15m,55,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
69,HEL,LON,2023-11-30,7:35 am , 2:20 pm,1,8h 45m,270,"Finnair, Vueling",USD,119,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
70,HEL,LON,2023-11-30,1:55 pm , 5:20 pm,1,5h 25m,110,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
71,HEL,LON,2023-11-30,7:25 am , 11:45 am,1,6h 20m,160,"Scandinavian Airlines, Ryanair",USD,150,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
72,HEL,LON,2023-11-30,7:05 am , 10:45 am,1,5h 40m,65,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
73,HEL,LON,2023-11-30,4:00 pm , 10:25 pm,1,8h 25m,195,"Finnair, Ryanair",USD,128,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
74,HEL,LON,2023-11-30,12:00 pm , 6:50 pm,1,8h 50m,290,"Finnair, British Airways",USD,129,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
75,HEL,LON,2023-11-30,7:00 am , 10:45 am,1,5h 45m,95,KLM,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
76,HEL,LON,2023-11-30,3:30 pm , 9:45 pm,2,8h 15m,220,"airBaltic, easyJet",USD,129,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
77,HEL,LON,2023-11-30,7:40 am , 4:55 pm,2,11h 15m,400,Norwegian,USD,133,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
78,HEL,LON,2023-11-30,4:00 pm , 5:00 pm,0,3h 00m,0,British Airways,USD,251,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
79,HEL,LON,2023-11-30,10:45 am , 7:15 pm,2,10h 30m,190,"Ryanair, British Airways",USD,105,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
80,HEL,LON,2023-11-30,4:00 pm , 9:50 pm,1,7h 50m,170,"Finnair, easyJet",USD,142,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
81,HEL,LON,2023-11-30,12:45 pm , 5:05 pm,1,6h 20m,85,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
82,HEL,LON,2023-11-30,7:50 am , 9:10 am,0,3h 20m,0,British Airways,USD,251,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
83,HEL,LON,2023-11-30,10:45 am , 6:45 pm,1,10h 00m,275,"Ryanair, British Airways",USD,118,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
84,HEL,LON,2023-11-30,4:00 pm , 10:10 pm,1,8h 10m,180,"Finnair, easyJet",USD,142,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
85,HEL,LON,2023-11-30,3:30 pm , 8:50 pm,2,7h 20m,165,"airBaltic, Brussels Airlines",USD,192,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
86,HEL,LON,2023-11-30,3:30 pm , 8:50 pm,2,7h 20m,165,"airBaltic, Brussels Airlines",USD,192,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
87,HEL,LON,2023-11-30,7:35 am , 11:45 am,1,6h 10m,150,"Finnair, Ryanair",USD,168,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
88,HEL,LON,2023-11-30,7:45 am , 4:35 pm,1,10h 50m,405,"Finnair, Ryanair",USD,110,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
89,HEL,LON,2023-11-30,6:30 am , 1:30 pm,2,9h 00m,290,"Scandinavian Airlines, Ryanair",USD,131,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
90,HEL,LON,2023-11-30,11:45 am , 2:55 pm,1,5h 10m,85,"Finnair, British Airways",USD,188,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
91,HEL,LON,2023-11-30,7:25 am , 5:00 pm,1,11h 35m,465,Scandinavian Airlines,USD,150,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
92,HEL,LON,2023-11-30,3:30 pm , 9:20 pm,2,7h 50m,195,"airBaltic, Brussels Airlines",USD,192,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
93,HEL,LON,2023-11-30,10:45 am , 6:35 pm,2,9h 50m,145,"Ryanair, British Airways",USD,126,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
94,HEL,LON,2023-11-30,12:45 pm , 6:35 pm,1,7h 50m,175,Lufthansa,USD,172,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
95,HEL,LON,2023-11-30,4:05 pm , 10:45 pm,1,8h 40m,305,"Finnair, Ryanair",USD,146,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
96,HEL,LON,2023-11-30,1:15 pm , 8:10 pm,1,8h 55m,295,CitizenPlane,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
97,HEL,LON,2023-11-30,1:35 pm , 4:20 pm,1,4h 45m,70,"Finnair, Norwegian",USD,198,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
98,HEL,LON,2023-11-30,7:05 am , 12:45 pm,1,7h 40m,185,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
