,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
168,HEL,LON,2023-11-30,7:05 AM,5:40 PM,1,12 hr 35 min,500,"Lufthansa, Operated by Lufthansa CityLine",USD,353,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
169,HEL,LON,2023-11-30,2:00 PM,5:45 PM,1,5 hr 45 min,70,Lufthansa,USD,353,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
170,HEL,LON,2023-11-30,5:40 PM,10:15 PM,1,6 hr 35 min,120,Lufthansa,USD,353,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
171,HEL,LON,2023-11-30,10:15 AM,6:35 PM,2,10 hr 20 min,305,"Scandinavian Airlines, SWISS, Operated by Xfly, Helvetic",USD,355,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
172,HEL,LON,2023-11-30,3:30 PM,10:20 AM+1,2,20 hr 50 min,960,"Air Baltic, Lufthansa",USD,356,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
173,HEL,LON,2023-11-30,7:40 AM,7:00 PM,2,13 hr 20 min,345,"Finnair, Iberia, Operated by Iberia Express",USD,367,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
174,HEL,LON,2023-11-30,7:00 AM,5:40 PM,2,12 hr 40 min,445,"Lufthansa, Operated by Lufthansa CityLine",USD,374,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
175,HEL,LON,2023-11-30,7:00 AM,5:40 PM,2,12 hr 40 min,445,"Lufthansa, Operated by Lufthansa CityLine",USD,374,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
176,HEL,LON,2023-11-30,7:00 AM,5:40 PM,2,12 hr 40 min,445,"Lufthansa, Operated by Lufthansa CityLine",USD,374,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
177,HEL,LON,2023-11-30,7:00 AM,5:40 PM,2,12 hr 40 min,445,"Lufthansa, Operated by Lufthansa CityLine",USD,374,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
178,HEL,LON,2023-11-30,1:30 PM,10:20 AM+1,2,22 hr 50 min,1080,"Scandinavian Airlines, Lufthansa, Operated by Xfly for Scandinavian Airlines",USD,375,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
179,HEL,LON,2023-11-30,1:30 PM,10:20 AM+1,2,22 hr 50 min,1080,"Scandinavian Airlines, Lufthansa, Operated by Xfly for Scandinavian Airlines",USD,375,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
180,HEL,LON,2023-11-30,1:30 PM,10:20 AM+1,2,22 hr 50 min,1080,"Scandinavian Airlines, Lufthansa, Operated by Xfly for Scandinavian Airlines",USD,375,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
181,HEL,LON,2023-11-30,12:30 PM,9:35 PM,1,11 hr 5 min,200,"Finnair, Tap Air Portugal",USD,376,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
182,HEL,LON,2023-11-30,12:30 PM,10:40 PM,1,12 hr 10 min,265,"Finnair, Tap Air Portugal",USD,376,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
183,HEL,LON,2023-11-30,5:40 PM,5:05 PM+1,1,25 hr 25 min,1265,Lufthansa,USD,385,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
184,HEL,LON,2023-11-30,12:30 PM,9:50 AM+1,1,23 hr 20 min,945,"Finnair, Tap Air Portugal, Operated by Portugalia Airlines",USD,397,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
185,HEL,LON,2023-11-30,1:30 PM,10:20 AM+1,2,22 hr 50 min,1080,"Scandinavian Airlines, Lufthansa, Operated by Xfly for Scandinavian Airlines",USD,399,https://www.google.com/travel/flights/search?tfs=CBwQAhojEgoyMDIzLTExLTMwagcIARIDSEVMcgwIAxIIL20vMDRqcGxAAUgBcAGCAQsI____________AZgBAg&tfu=EgYIARAAGAAqAggD&curr=USD
